release,family,measure,level,groups,input_supp_rate,groups_with_supp_inputs,clean,exact_share,mean_err,mean_abs_err,max_abs_err,p95_rel_err,max_rel_err
2026-03,comor_pall,COMORBIDITIES,ICB,546,0.0,0,546,0.212,0.13,1.65,10.0,0.0005,0.0008
2026-03,comor_pall,DEMENTIA_REGISTER_65_PLUS,ICB,546,0.0,0,546,1.0,0.0,0.0,0.0,0.0,0.0
2026-03,comor_pall,PALLIATIVE_CARE,ICB,546,0.0,0,546,0.179,0.03,1.6,9.0,0.0026,0.0053
2026-03,comor_pall,COMORBIDITIES,REGION,91,0.0,0,91,0.11,0.8,3.79,16.0,0.0002,0.0003
2026-03,comor_pall,DEMENTIA_REGISTER_65_PLUS,REGION,91,0.0,0,91,1.0,0.0,0.0,0.0,0.0,0.0
2026-03,comor_pall,PALLIATIVE_CARE,REGION,91,0.0,0,91,0.11,0.16,4.27,14.0,0.0008,0.0009
2026-03,comor_pall,COMORBIDITIES,COUNTRY,13,0.0,0,13,0.0,5.62,8.54,19.0,0.0001,0.0001
2026-03,comor_pall,DEMENTIA_REGISTER_65_PLUS,COUNTRY,13,0.0,0,13,1.0,0.0,0.0,0.0,0.0,0.0
2026-03,comor_pall,PALLIATIVE_CARE,COUNTRY,13,0.0,0,13,0.077,1.15,13.15,22.0,0.0002,0.0002
2026-03,cog_imp,MCI (all age/sex cells),ICB,12012,0.0133,279,11733,0.856,0.01,0.76,15.0,0.0227,0.25
2026-03,cog_imp,MCI (all age/sex cells),REGION,2002,0.0133,195,1807,0.072,0.04,4.09,20.0,0.0109,0.0497
2026-03,cog_imp,MCI (all age/sex cells),COUNTRY,286,0.0133,87,199,0.04,-0.08,12.35,41.0,0.0027,0.0049
2026-03,nhs_rate,DEMENTIA_ESTIMATE_65_PLUS,ICB,546,0.0,0,546,0.804,-0.0,0.02,0.3000000000029104,0.0,0.0
2026-03,nhs_rate,DEMENTIA_REGISTER_65_PLUS,ICB,546,0.0,0,546,1.0,0.0,0.0,0.0,0.0,0.0
2026-03,nhs_rate,DEMENTIA_ESTIMATE_65_PLUS,REGION,91,0.0,0,91,0.385,-0.0,0.08,0.3000000000029104,0.0,0.0
2026-03,nhs_rate,DEMENTIA_REGISTER_65_PLUS,REGION,91,0.0,0,91,1.0,0.0,0.0,0.0,0.0,0.0
2026-03,nhs_rate,DEMENTIA_ESTIMATE_65_PLUS,COUNTRY,13,0.0,0,13,0.077,-0.02,0.21,0.40000000002328306,0.0,0.0
2026-03,nhs_rate,DEMENTIA_REGISTER_65_PLUS,COUNTRY,13,0.0,0,13,1.0,0.0,0.0,0.0,0.0,0.0
